Designator,Mid X,Mid Y,Rotation,Layer
C101,62.345604,-159.272931,0.0,bottom
C401,40.595604,-184.272931,270.0,top
C402,25.595604,-155.272931,180.0,top
C403,25.145604,-171.272931,180.0,top
C404,53.463281,-158.272931,0.0,bottom
D401,51.595604,-167.272931,180.0,top
L401,50.595604,-178.272931,90.0,top
Q401,37.545604,-165.46,90.0,bottom
R101,57.394423,-150.704146,0.0,top
R401,25.595604,-160.272931,180.0,top
R402,25.145604,-167.272931,180.0,top
R403,40.595604,-176.272931,90.0,top
R404,42.595604,-163.272931,0.0,top
R405,42.595604,-155.272931,180.0,top
R406,42.595604,-159.272931,0.0,top
U101,62.595604,-169.272931,270.0,top
U102,51.916344,-135.957129,0.0,bottom
U401,32.595604,-178.272931,180.0,top
